预算单ID,预算单名称,创建时间,创建人,creator,OA编号,一级部门,二级部门,三级部门,业务线,WBS编号,利润中心,利润中心编号,已用标注数据,标注数据额度,标注费用,标注预算,标注风险,已用采集数据,采集数据额度,采集费用,采集预算,采集风险
2730,C&ED - People & Luggage TrackingPL059,2022-09-30,张赛,zhangsai.vendor,SJBZCJ2022090976,研究院,海外研发中心,亚太云平台,SX,P-AB220828.001,亚太智能端边与应用,SCG03 PL059,19166.0,80000.0,77000.88,72000.0,超额,0.0,0.0,0.0,0.0,无
2611,上海世糯五幺健身服务有限公司-3D视频无感知动捕POC技术服务协议,2022-09-08,严志田,yanzhitian,SJBZCJ2022090837,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,D-SC221391.001,创新业务部,SCG09,12091.0,10080.0,21381.31,20059.2,超额,93.0,600.0,600.0,600.0,满额
2500,SenseOmni智慧体育产品预研SCG09,2022-08-11,严志田,yanzhitian,SJBZCJ2022080713,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,R-SC220924.001,创新业务部,SCG09,0.0,0.0,0.0,0.0,无,1096890.0,500.0,33255.23,53000.0,无
2302,疫情运动小程序PL081,2022-06-14,严志田,yanzhitian,SJBZCJ2022060468,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,R-SC221089.001,城市运营创新产品线,PL081,30464.0,15000.0,10838.96,11550.0,无,0.0,0.0,0.0,0.0,无
2070,SenseOmni智慧体育产品预研SCG09,2022-03-28,严志田,yanzhitian,SJBZCJ2022030173,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,R-SC220924.001,创新业务部,SCG09,402538.0,50000.0,405376.93,565500.0,无,0.0,0.0,0.0,0.0,无
2019,智能冰箱+SKU预研静态冰箱SCG00,2022-03-11,刘恒一,liuhengyi,SJBZCJ2022030179,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,R-SC220888.001,SCG公共,SCG00,266340.0,64000.0,220230.37,224000.0,无,55534.0,80.0,24898.93,23744.0,满额
2017,智能冰箱+SKU预研动态冰箱SCG00,2022-03-11,刘恒一,liuhengyi,SJBZCJ2022030180,智慧城市与商业事业群,创新业务部,智慧体育创新中心,DX,R-SC220886.001,SCG公共,SCG00,1633473.0,2700000.0,339399.28,540000.0,无,3654.0,75.0,20816.8,22260.0,无
1629,SenseMartGo智能售货一体机(冰箱)产品研发 V1.0.0,2021-10-28,刘恒一,liuhengyi,SJBZCJ2021100944,研究院,海外研发中心,海外研发中心-ABG,DX,R-SC211232.001,零售行业产品线,SCG04 PL009,1743974.0,2450000.0,637093.94,637000.0,满额,128308.0,290.0,68967.18,81200.0,无
694,Tahakom,2020-11-11,叶小豫,yexiaoyu,SJBZCJ2020110538,智慧城市综合业务事业群,新兴业务产品线,亚太创新产品中心,IR,D-IB190815.001,海外业务事业群,IBG00,0.0,0.0,0.0,0.0,无,443451.0,800000.0,606445.4,600000.0,超额
214,RWS Phase 3 For Research exp,2020-06-28,叶小豫,yexiaoyu,SJBZCJ2020060020,智慧城市综合业务事业群,新兴业务产品线,亚太创新产品中心,IR,R-AB200001.001,亚太创新产品中心,SCG03 PL059,6447000.0,1195038.0,2993234.46,2993595.0,无,0.0,0.0,0.0,0.0,无
